bp0,bs0,bp1,bs1,bp2,bs2,bp3,bs3,bp4,bs4,bp5,bs5,bp6,bs6,bp7,bs7
205,823,195,735,219,841,250,779,259,624,233,420,222,19,235,48
206,1120,249,829,248,637,238,436,220,33,225,64,242,169,252,327
236,686,234,443,221,57,226,48,262,170,251,331,230,509,208,635
208,80,234,34,249,148,241,317,229,479,206,631,217,818,243,818
214,162,272,290,237,459,209,627,223,821,250,816,261,694,246,494
231,701,656,903,215,654,256,815,271,699,257,494,234,170,235,7
214,1103,773,1129,270,544,265,509,223,205,240,14,248,141,267,256
258,808,802,819,304,85,240,13,260,135,259,251,249,410,222,602
231,248,801,289,688,432,276,224,267,383,236,592,214,755,250,822
240,115,275,216,848,816,251,479,218,741,243,834,268,756,272,587
228,575,251,640,752,1145,897,1052,272,382,270,559,261,336,243,0
194,1018,253,880,277,778,1046,1103,329,171,240,16,250,99,266,171
252,918,283,614,252,396,850,417,1136,655,272,169,272,351,231,555
233,398,226,11,245,80,685,466,1067,815,253,421,218,677,245,843
235,55,273,159,257,336,257,535,620,976,975,1150,272,418,285,625
253,439,240,554,217,665,240,843,890,1230,1083,941,274,96,243,48
161,945,238,880,261,818,283,662,270,464,810,435,1006,481,282,144
257,996,282,673,258,476,249,99,256,48,639,422,986,752,272,382
247,379,255,106,240,38,267,160,292,298,273,475,752,930,849,1020
224,16,269,141,259,283,254,459,236,622,243,815,798,1186,1095,1008
263,336,262,442,230,603,231,808,269,811,299,715,286,527,920,613
208,887,240,837,250,824,290,726,274,538,265,218,263,15,275,144
255,1072,304,752,272,547,257,240,251,15,273,146,284,242,278,405
269,551,272,243,241,11,269,134,289,228,283,391,250,595,249,768
220,4,277,117,273,229,279,400,255,594,241,752,279,843,309,768
282,259,301,404,246,591,241,755,287,841,309,768,304,576,281,336
254,853,241,782,270,842,306,763,306,579,304,339,272,10,289,111
268,1102,309,796,303,595,284,366,270,16,283,112,301,199,313,364
300,624,298,375,257,16,287,101,304,185,309,379,269,573,252,718
249,12,287,81,292,176,295,368,266,587,247,703,293,849,318,787
274,192,306,359,268,551,261,655,283,846,329,806,338,627,305,427
271,815,267,738,296,845,336,802,343,629,320,431,306,32,312,62
290,1134,350,818,348,654,335,440,304,37,322,73,359,175,343,335
333,700,334,441,300,52,313,63,353,167,354,339,323,528,289,654
304,58,322,46,335,169,353,337,321,519,296,651,309,829,355,816
331,175,347,320,313,486,300,636,302,830,350,816,369,675,339,480
302,731,285,697,304,837,337,816,357,687,331,471,313,112,317,35
279,1133,340,859,355,697,336,486,317,123,303,54,338,163,352,301
349,766,339,491,311,143,300,43,338,151,354,303,324,473,308,622
288,154,304,19,321,144,349,289,324,461,303,624,301,816,338,832
321,151,358,272,319,442,291,617,298,807,337,821,363,738,357,534
320,657,294,666,282,813,336,830,368,711,343,528,316,208,319,10
272,1088,284,861,351,720,343,532,310,234,309,20,338,143,356,243
345,816,355,545,316,241,304,13,329,137,353,250,338,407,306,603
306,247,314,2,321,128,353,234,339,411,304,588,299,771,334,837
320,125,354,226,325,399,305,593,293,762,326,846,363,752,355,575
315,592,304,651,279,759,320,847,368,752,357,577,327,314,317,0
273,1055,332,874,340,761,345,583,322,335,307,9,326,119,351,222
352,889,359,596,311,341,304,16,332,119,337,212,343,383,328,592
306,359,307,2,317,108,346,208,343,370,320,576,299,722,329,848
306,85,346,178,336,366,303,585,299,714,323,842,368,796,359,624
318,535,310,625,286,699,314,841,347,797,371,607,322,400,309,11
272,993,315,897,355,806,369,618,324,411,306,22,316,80,351,176
345,965,368,626,318,432,306,24,321,73,343,174,357,351,318,519
304,433,305,18,301,67,336,174,352,339,326,528,290,668,306,845
304,53,342,160,337,336,317,526,287,648,319,847,346,819,357,663
331,432,320,560,286,640,305,844,347,823,366,673,336,465,317,96
287,923,302,884,342,816,364,667,339,480,306,112,314,50,350,156
336,1018,366,707,331,493,309,128,309,48,336,170,352,302,335,464
333,506,319,144,290,32,338,155,365,282,333,464,309,612,304,814
320,11,336,144,349,278,333,442,304,607,298,812,343,829,368,725
336,335,325,457,296,612,291,782,336,831,363,730,352,539,326,227
281,897,295,833,314,841,359,748,355,560,320,241,300,18,336,131
322,1075,359,777,339,560,322,270,306,19,341,139,366,230,338,399
336,576,328,283,291,12,323,134,351,222,338,394,310,588,301,749
289,0,331,112,336,215,336,385,323,592,283,738,336,832,359,759
322,236,337,368,298,576,285,735,321,843,361,774,353,598,336,,
293,850,290,768,316,849,352,806,358,608,327,391,304,19,321,82
304,1109,354,821,358,624,320,410,304,20,327,83,359,176,347,349
335,656,330,427,307,21,323,66,352,157,350,350,326,538,286,674
293,32,316,48,331,170,363,336,308,530,295,651,314,845,353,823
290,172,345,334,305,504,298,654,309,843,341,821,365,667,336,478
304,735,287,691,295,828,338,811,367,674,336,481,311,109,319,36
283,1122,339,864,358,704,336,498,321,139,304,44,342,153,359,288
348,783,336,506,310,171,304,24,336,151,347,286,316,453,302,608
285,189,306,1,317,144,330,272,315,433,289,607,265,797,305,834
315,144,310,246,282,410,257,606,245,779,279,842,303,752,303,556
269,607,242,651,235,775,273,841,304,753,295,561,261,279,249,9
217,1058,274,881,287,767,282,582,272,307,253,7,272,119,289,218
272,869,297,578,249,334,254,9,262,113,278,218,277,375,256,582
243,349,244,5,248,113,269,194,278,368,251,575,230,720,266,848
234,106,272,175,259,362,238,582,219,704,257,848,287,794,626,825
256,496,230,605,209,701,241,852,272,801,285,629,842,784,903,405
203,957,240,875,262,801,287,640,267,418,858,401,708,381,290,147
240,944,272,637,243,433,250,45,270,80,1105,675,752,588,245,469
241,442,237,51,240,54,261,176,1055,880,1102,1042,234,396,240,817
214,41,258,147,252,320,241,506,1082,1167,847,995,272,448,283,634
238,416,233,502,214,641,805,1212,962,1043,287,352,257,438,240,93
195,926,225,863,257,816,753,944,1086,829,259,0,234,45,254,151
240,1023,278,689,650,752,918,433,246,48,261,160,265,293,243,445
240,495,242,131,655,357,919,560,274,262,243,436,225,619,230,822
209,26,890,483,761,622,247,362,214,611,221,813,252,817,272,704
258,370,1040,880,217,467,226,786,248,809,258,703,247,501,223,192
700,1246,734,1069,243,730,260,689,246,508,226,194,223,5,240,143
234,1059,276,725,240,511,226,208,224,5,240,143,240,257,240,418
224,546,223,208,219,0,241,141,241,246,239,418,210,603,210,799
207,0,239,128,237,242,240,407,215,595,208,787,248,829,263,734
240,298,252,418,210,593,198,784,240,838,267,727,258,549,243,256
208,885,215,832,243,841,272,755,272,550,263,250,235,14,272,125
250,1085,301,768,272,550,257,256,254,13,272,130,288,230,283,400
289,573,275,269,246,7,282,131,313,222,304,399,264,592,256,757
245,0,295,115,291,219,294,393,265,592,257,757,295,837,321,763
295,261,311,406,262,583,259,761,290,842,316,767,322,560,288,323
263,869,246,796,283,841,329,755,318,576,292,315,285,10,302,112
279,1103,329,805,323,589,301,333,291,5,303,126,327,219,336,,
